ID,name,Food Group,Calories,Carbohydrate,Protein,Fat,Water,Net-Carbs,Sugars,Fiber,Cholesterol,Saturated Fats,Monounsaturated Fatty Acids,Polyunsaturated Fatty Acids,PRAL score,Calcium,Iron,Potassium,Magnesium,Vitamin A IU,Vitamin A RAE,Vitamin C,Vitamin B-12,Vitamin D,Vitamin E,Omega 3s,Omega 6s,Trans Fatty Acids,Sucrose,Glucose,Fructose,Lactose,Maltose,Galactose,Starch,Phosphorus,Sodium,Zinc,Copper,Manganese,Selenium,Fluoride,Thiamin,Riboflavin,Niacin,Pantothenic acid,Vitamin B6,Folate,Folic acid,Food Folate,Folate DFE,Choline,Betaine,Retinol,Beta Carotene,Alpha Carotene,Lycopene,Vitamin D2,Vitamin D3,Vitamin D,Vitamin K,Dihydrophylloquinone,Menaquinone-4,ALA,EPA,DPA,DHA,Tryptophan,Threonine,Isoleucine,Leucine,Lysine,Methionine,Cystine,Phenylalanine,Tyrosine,Valine,Arginine,Histidine,Alanine,Aspartic acid,Glutamic acid,Glycine,Proline,Serine,Hydroxyproline,Alcohol,Caffeine,Theobromine,Density
170160,Almond Paste,Nuts and Seeds,458,47.81,9,27.74,14.08,43.01,36.25,4.8,0,2.629,18012,5821,1.676,172,1.6,314,130,0,0,0.1,0,0,13.54,199,5576,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,258,9,1.48,0.454,0.856,4.2,NULL,0.082,0.414,1.422,0.113,0.036,73,0,73,73,28.5,NULL,0,0,0,0,NULL,NULL,0,0,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,
170567,Almonds,Nuts and Seeds,579,21.55,21.15,49.93,4.41,9.05,4.35,12.5,0,3.802,31551,12329,2.096,269,3.71,733,270,2,0,0,0,0,25.63,3,12328,0.015,3.95,0.17,0.11,0,0.04,0.07,0.72,481,1,3.12,1.031,2.179,4.1,NULL,0.205,1.138,3.618,0.471,0.137,44,0,44,44,52.1,0.5,0,1,0,0,NULL,NULL,0,0,0,NULL,3,0,0,0,211,601,751,1473,568,157,215,1132,450,855,2465,539,999,2639,6206,1429,969,912,NULL,0,0,0,
169075,Alpen,Breakfast Cereals,352,75.7,11.2,3.3,7.4,66.6,20,9.1,0,0.496,1327,925,6.012,147,3,418,94,0,0,8.7,0.12,0,0.51,44,880,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,371,27,3,0.3,NULL,17.3,NULL,0.4,0.4,2.12,NULL,0.28,30,0,30,30,30.7,NULL,0,0,0,0,NULL,NULL,0,2.5,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,
786799,Ambrosia,Fruits,70,16.16,0.9,0.96,81.51,13.86,11.62,2.3,0,0.748,56,47,-3.894,24,0.24,200,15,NULL,7,40.1,0,0,0.12,14,33,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16,1,0.12,0.078,NULL,0.7,NULL,0.071,0.044,0.424,NULL,0.138,24,0,24,24,7.8,NULL,0,49,11,0,NULL,NULL,NULL,0.3,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,
171252,American Cheese,Dairy and Egg Products,330,8.56,16.86,25.63,44,8.56,5.59,0,98,15.057,6846,1049,9.511,682,0.26,255,27,761,201,0,1.33,2.5,0.63,161,866,0.917,0,0,0,5.41,0,0.18,NULL,438,1284,2.31,0.034,0.025,19.6,35,0.035,0.36,0.155,0.855,0.102,7,0,7,7,36.2,1.4,196,65,0,0,0,2.5,102,3.4,0,NULL,121,8,18,5,241,720,858,1592,1302,380,174,829,833,1010,613,448,518,1191,3495,322,1847,932,NULL,0,0,0,
174182,Anchovies (Raw),Fish,131,0,20.35,4.84,73.37,0,0,0,60,1.282,1182,1637,5.339,147,3.25,383,41,50,15,0,0.62,NULL,0.57,1533,97,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,174,104,1.72,0.211,0.07,36.5,NULL,0.055,0.256,14.024,0.645,0.143,9,0,9,9,NULL,NULL,15,0,0,0,NULL,NULL,NULL,0.1,NULL,NULL,NULL,538,29,911,228,892,938,1654,1869,602,218,794,687,1048,1217,599,1231,2084,3038,977,720,830,NULL,0,0,0,
173469,Apple Cider Vinegar,Spices and Herbs,21,0.93,0,0,93.81,0.93,0.4,0,0,0,0,0,-1.467,7,0.2,73,5,0,0,0,0,0,0,0,0,0,0,0.1,0.3,0,0,0,NULL,8,5,0.04,0.008,0.249,0.1,NULL,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,NULL,NULL,0,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,
173933,Apple Juice,Fruits,46,11.3,0.1,0.13,88.24,11.1,9.62,0.2,0,0.022,6,39,-2.059,8,0.12,101,5,1,0,0.9,0,0,0.01,7,33,0,1.26,2.63,5.73,0,0,0,NULL,7,4,0.02,0.012,0.074,0.1,NULL,0.021,0.017,0.073,0.049,0.018,0,0,0,0,1.8,0.1,0,0,0,0,NULL,NULL,0,0,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,
171688,Apples,Fruits,52,13.81,0.26,0.17,85.56,11.41,10.39,2.4,0,0.028,7,51,-1.933,6,0.12,107,5,54,3,4.6,0,0,0.18,9,43,0,2.07,2.43,5.9,0,0,0,0.05,11,1,0.04,0.027,0.035,0,3.3,0.017,0.026,0.091,0.061,0.041,3,0,3,3,3.4,0.1,0,27,0,0,NULL,NULL,0,2.2,0,NULL,NULL,0,0,0,1,6,6,13,12,1,1,6,1,12,6,5,11,70,25,9,6,10,NULL,0,0,0,
168490,Arrowroot,Vegetables,65,13.39,4.24,0.2,80.75,12.09,NULL,1.3,0,0.039,4,92,-4.611,6,2.22,454,25,19,1,1.9,0,0,NULL,18,74,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,98,26,0.63,0.121,0.174,0.7,NULL,0.143,0.059,1.693,0.292,0.266,338,0,338,338,NULL,NULL,0,11,0,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
170684,Arrowroot Flour,Grains and Pasta,357,88.15,0.3,0.1,11.37,84.75,NULL,3.4,0,0.019,2,45,-0.499,40,0.33,11,3,0,0,0,0,0,NULL,9,36,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,2,0.07,0.04,0.47,NULL,NULL,0.001,0,0,0.13,0.005,7,0,7,7,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,12,10,19,13,6,6,12,9,14,12,4,14,47,50,14,9,13,NULL,NULL,NULL,NULL,
169205,Artichokes,Vegetables,47,10.51,3.27,0.15,84.94,5.11,0.99,5.4,0,0.036,5,64,-5.025,44,1.28,370,60,13,1,11.7,0,0,0.19,17,46,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,90,94,0.49,0.231,0.256,0.2,NULL,0.072,0.066,1.046,0.338,0.116,68,0,68,68,34.4,0.2,0,8,0,0,NULL,NULL,0,14.8,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,
169387,Arugula,Vegetables,25,3.65,2.58,0.66,91.71,2.05,2.05,1.6,0,0.086,49,319,-7.914,160,1.46,369,47,2373,119,15,0,0,0.43,170,130,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,52,27,0.47,0.076,0.321,0.3,NULL,0.044,0.086,0.305,0.437,0.073,97,0,97,97,15.3,0.1,0,1424,0,0,NULL,NULL,0,108.6,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,
168389,Asparagus,Vegetables,20,3.88,2.2,0.12,93.22,1.78,1.88,2.1,0,0.04,0,50,-1.94,24,2.14,202,14,756,38,5.6,0,0,1.13,10,40,0,0.23,0.65,1,0,0,0,NULL,52,2,0.54,0.189,0.158,2.3,NULL,0.143,0.141,0.978,0.274,0.091,52,0,52,52,16,0.6,0,449,9,0,NULL,NULL,0,41.6,0,NULL,NULL,0,0,0,27,84,75,128,104,31,31,75,52,115,91,49,115,508,233,93,71,106,NULL,0,0,0,
173573,Avocado Oil,Fats and Oils,884,0,0,100,0,0,NULL,0,NULL,11.56,70554,13486,0,0,0,0,0,0,0,0,0,NULL,NULL,957,12530,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
171705,Avocados,Fruits,160,8.53,2,14.66,73.23,1.83,0.66,6.7,0,2.126,9799,1816,-8.248,12,0.55,485,29,146,7,10,0,0,2.07,111,1689,0,0.06,0.37,0.12,0,0,0.1,0.11,52,7,0.64,0.19,0.142,0.4,7,0.067,0.13,1.738,1.389,0.257,81,0,81,81,14.2,0.7,0,62,24,0,NULL,NULL,0,21,0,NULL,111,0,0,0,25,73,84,143,132,38,27,97,49,107,88,49,109,236,287,104,98,114,NULL,0,0,0,
168568,Baby Carrots,Vegetables,35,8.24,0.64,0.13,90.35,5.34,4.76,2.9,0,0.023,7,65,-4.33,32,0.89,237,10,13790,690,2.6,0,0,NULL,8,57,0,2.72,1.04,1,0,0,0,0,28,78,0.17,0.1,0.151,0.9,NULL,0.03,0.036,0.556,0.401,0.105,27,0,27,27,7.5,0.1,0,6391,3767,0,NULL,NULL,0,9.4,0,NULL,NULL,NULL,NULL,NULL,9,31,34,35,33,6,7,26,16,36,35,13,48,112,165,24,24,28,NULL,NULL,NULL,NULL,
168322,Bacon,Meats,468,1.7,33.92,35.09,23.65,1.7,0,0,99,11.964,15530,6112,19.49,11,0.95,499,31,37,11,0,1.09,0.4,0.42,293,5695,0.144,NULL,NULL,NULL,NULL,NULL,NULL,NULL,388,1684,3.06,0.105,0.022,50.7,NULL,0.56,0.232,10.457,1.1,0.535,0,0,0,0,89.5,8.1,11,0,0,0,NULL,0.4,17,0,NULL,NULL,223,4,26,8,407,1504,1619,2814,3041,937,385,1421,1355,1729,2203,1391,1958,3198,5223,1545,1382,1428,119,0,0,0,
169210,Bamboo Shoots,Vegetables,27,5.2,2.6,0.3,91,3,3,2.2,0,0.069,7,134,-8.037,13,0.5,533,3,20,1,4,0,0,1,20,114,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,59,4,1.1,0.19,0.262,0.8,NULL,0.15,0.07,0.6,0.161,0.24,7,0,7,7,0,NULL,0,12,0,0,NULL,NULL,0,0,NULL,NULL,NULL,0,0,0,27,86,88,140,134,30,22,90,NULL,106,97,42,124,425,248,87,219,127,NULL,0,0,0,
173944,Bananas,Fruits,89,22.84,1.09,0.33,74.91,20.24,12.23,2.6,0,0.112,32,73,-6.981,5,0.26,358,27,64,3,8.7,0,0,0.1,27,46,0,2.39,4.98,4.85,0,0.01,0,5.38,22,1,0.15,0.078,0.27,1,2.2,0.031,0.073,0.665,0.334,0.367,20,0,20,20,9.8,0.1,0,26,25,0,NULL,NULL,0,0.5,0,NULL,NULL,0,0,0,9,28,28,68,50,8,9,49,9,47,49,77,40,124,152,38,28,40,NULL,0,0,0,
169739,Barley Flour,Grains and Pasta,345,74.52,10.5,1.6,12.11,64.42,0.8,10.1,0,0.335,205,771,6.636,32,2.68,309,96,0,0,0,0,0,0.57,77,695,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,296,4,2,0.343,1.034,37.7,NULL,0.37,0.114,6.269,0.145,0.396,8,0,8,8,37.8,65.5,0,0,0,0,NULL,NULL,0,2.2,NULL,NULL,NULL,0,0,0,175,356,383,713,391,202,232,589,301,515,526,236,409,655,2741,380,1247,443,NULL,0,0,0,
170284,Barley,Grains and Pasta,352,77.72,9.91,1.16,10.09,62.12,0.8,15.6,0,0.244,149,560,4.67,29,2.5,280,79,22,1,0,0,0,0.02,55,505,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,221,9,2.13,0.42,1.322,37.7,NULL,0.191,0.114,4.604,0.282,0.26,23,0,23,23,37.8,NULL,0,13,0,0,NULL,NULL,0,2.2,NULL,NULL,NULL,0,0,0,165,337,362,673,369,190,219,556,284,486,496,223,386,619,2588,359,1178,418,NULL,0,0,0,
172232,Basil,Spices and Herbs,23,2.65,3.15,0.64,92.06,1.05,0.3,1.6,0,0.041,88,389,-6.593,177,3.17,295,64,5275,264,18,0,0,0.8,316,73,0,0,0.02,0.02,0,0,0.27,NULL,56,4,0.81,0.385,1.148,0.3,NULL,0.034,0.076,0.902,0.209,0.155,68,0,68,68,11.4,0.4,0,3142,0,0,NULL,NULL,0,414.8,0,NULL,NULL,0,0,0,39,104,104,191,110,36,28,130,77,127,117,51,132,301,277,122,104,99,NULL,0,0,0,
170917,Bay Leaves,Spices and Herbs,313,74.97,7.61,8.36,5.44,48.67,NULL,26.3,0,2.28,1640,2290,-17.25,834,43,529,120,6185,309,46.5,0,0,NULL,1050,1240,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,113,23,3.7,0.416,8.167,2.8,NULL,0.009,0.421,2.005,NULL,1.74,180,0,180,180,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,
169558,Bottom Sirloin,Meats,211,0,26.05,11.07,62.63,0,0,0,83,NULL,NULL,NULL,12.561,19,1.66,323,22,0,0,0,1.53,NULL,0.4,51,272,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,201,53,4.67,0.078,0.009,28,NULL,0.07,0.126,6.933,0.514,0.545,8,0,8,8,99.2,13,0,0,0,0,NULL,NULL,NULL,1.4,NULL,NULL,NULL,0,0,0,171,1041,1185,2072,2201,678,336,1029,830,1292,1684,831,1584,2373,3911,1586,1242,1026,274,0,0,0,
781864,Brisket,Meats,289,0,26.57,19.36,51.11,0,0,0,92,7.467,8608,664,14.871,7,2.51,257,21,NULL,0,0,2.43,0.3,0.19,20,456,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,214,387,5.91,0.107,NULL,23.1,NULL,0.069,0.198,3.342,NULL,0.268,7,0,7,7,101.2,NULL,0,0,0,0,NULL,NULL,NULL,1.8,NULL,NULL,NULL,3,16,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,
174557,Beef Broth,Soups and Sauces,12,0.73,2.22,0,96.24,0.73,NULL,0,0,0,0,0,0.166,4,0.22,64,0,0,0,0.4,0,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13,264,0.15,0.102,0.152,NULL,NULL,0.009,0.012,0.295,0.02,0.01,1,0,1,1,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
169474,Beef Ground 30% Fat,Meats,241,0,23.87,15.37,58.37,0,0,0,88,6.073,7322,408,11.877,33,2.27,241,17,9,3,0,2.49,0,0.12,8,372,1.173,NULL,NULL,NULL,NULL,NULL,NULL,NULL,166,73,5.84,0.079,0.009,19.1,NULL,0.051,0.171,4.026,0.512,0.311,7,0,7,7,73.2,9.5,3,0,0,0,NULL,0,2,2.9,NULL,NULL,NULL,0,0,0,121,923,1055,1861,1976,614,246,931,734,1172,1553,775,1494,2148,3577,1619,1216,955,NULL,0,0,0,
174034,Beef Ground 15% Fat,Meats,256,0,27.73,15.3,55.9,0,0,0,89,5.806,6572,477,12.863,22,2.93,407,25,9,3,0,2.8,0,0.12,9,409,0.556,NULL,NULL,NULL,NULL,NULL,NULL,NULL,238,89,6.62,0.093,0.012,21.6,22.4,0.044,0.191,6.318,0.807,0.428,10,0,10,10,91.4,12,3,0,0,0,NULL,0,2,1.7,0,NULL,NULL,0,0,0,141,1073,1225,2161,2295,713,285,1081,852,1362,1804,900,1736,2495,4155,1881,1412,1109,402,0,0,0,
174028,Beef Ground 5% Fat,Meats,193,0,29.17,7.58,62.58,0,0,0,89,3.298,3014,362,13.486,9,3.23,459,28,9,3,0,2.8,0,0.12,9,201,0.162,NULL,NULL,NULL,NULL,NULL,NULL,NULL,263,85,7.06,0.106,0.013,21.6,NULL,0.042,0.191,7.29,0.807,0.428,7,0,7,7,94.8,8.2,3,0,0,0,NULL,0,2,1.4,0,NULL,NULL,0,0,0,148,1128,1289,2273,2415,750,300,1137,897,1433,1898,947,1826,2625,4371,1979,1486,1167,NULL,0,0,0,
781821,Beef,Meats,184,0,29.23,6.75,62.46,0,0,0,81,2.643,2926,333,14.488,16,2.38,371,23,NULL,1,0,1.98,0.1,0.3,13,255,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,238,387,5.77,0.083,NULL,33.7,NULL,0.082,0.237,7.908,NULL,0.676,8,0,8,8,93,NULL,1,0,0,0,NULL,NULL,NULL,1.5,NULL,NULL,NULL,2,10,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,
168746,Beer,Beverages,43,3.55,0.46,0,91.96,3.55,0,0,0,0,0,0,-0.036,4,0.02,27,6,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,14,4,0.01,0.005,0.008,0.6,44.2,0.005,0.025,0.513,0.041,0.046,6,0,6,6,10.1,NULL,0,0,0,0,NULL,NULL,0,0,0,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,16,47,13,35,0,NULL,3.9,0,0,
788019,Beets (Cooked),Vegetables,60,9.65,1.64,2.13,84.88,7.75,7.7,1.9,3,0.987,582,396,-4.86,16,0.77,296,22,NULL,22,3.5,0,0,0.3,39,356,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,37,313,0.34,0.072,NULL,0.7,NULL,0.026,0.04,0.321,NULL,0.105,77,0,77,77,6.5,NULL,19,29,0,0,NULL,NULL,NULL,1.4,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,
169145,Beets (Raw),Vegetables,43,9.56,1.61,0.17,87.58,6.76,6.76,2.8,0,0.027,32,60,-5.402,16,0.8,325,23,33,2,4.9,0,0,0.04,5,55,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,40,78,0.35,0.075,0.329,0.7,NULL,0.031,0.04,0.334,0.155,0.067,109,0,109,109,6,128.7,0,20,0,0,NULL,NULL,0,0.2,NULL,NULL,NULL,0,0,0,19,47,48,68,58,18,19,46,38,56,42,21,60,116,428,31,42,59,NULL,0,0,0,
173735,Black Beans,Beans and Lentils,132,23.71,8.86,0.54,65.74,15.01,0.32,8.7,0,0.139,47,231,-0.161,27,2.1,355,70,6,0,0,0,0,0.87,105,126,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,140,1,1.12,0.209,0.444,1.2,NULL,0.244,0.059,0.505,0.242,0.069,149,0,149,149,32.6,NULL,0,0,0,0,NULL,NULL,0,3.3,NULL,NULL,NULL,0,0,0,105,373,391,708,608,133,96,479,250,464,549,247,372,1072,1351,346,376,482,NULL,0,0,0,
